event_id,organizer_id,venue_id,event_name,event_type,description,event_date,start_time,end_time,language,status,created_at
EVT-2026-000011,ORG-2026-000005,VEN-2026-000021,"Arijit Singh Live",CONCERT,"Live musical concert",2026-09-15,19:00:00,22:30:00,Hindi,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000012,ORG-2026-000005,VEN-2026-000022,"Anirudh Musical Night",CONCERT,"Live music performance",2026-09-16,18:30:00,22:00:00,Tamil,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000013,ORG-2026-000005,VEN-2026-000026,"Bollywood Music Festival",CONCERT,"Live Bollywood music festival",2026-09-17,19:00:00,23:00:00,Hindi,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000014,ORG-2026-000007,VEN-2026-000028,"Rock Legends Live",CONCERT,"International rock music concert",2026-09-18,18:00:00,22:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000015,ORG-2026-000008,VEN-2026-000035,"Indie Music Festival",CONCERT,"Independent artists music festival",2026-09-19,17:00:00,22:30:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000016,ORG-2026-000004,VEN-2026-000007,"India vs Australia",SPORTS,"International cricket match",2026-09-20,19:30:00,23:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000017,ORG-2026-000004,VEN-2026-000018,"India vs England",SPORTS,"International cricket match",2026-09-21,19:30:00,23:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000018,ORG-2026-000004,VEN-2026-000025,"Hyderabad Premier League Final",SPORTS,"Domestic cricket championship final",2026-09-22,18:30:00,22:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000019,ORG-2026-000004,VEN-2026-000032,"National Football Championship",SPORTS,"Professional football match",2026-09-23,19:00:00,21:30:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000020,ORG-2026-000004,VEN-2026-000039,"T20 Cricket League Final",SPORTS,"T20 cricket league final match",2026-09-24,19:30:00,23:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000021,ORG-2026-000007,VEN-2026-000011,Hamlet,THEATRE,"Classic Shakespearean stage play",2026-09-25,18:30:00,21:30:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000022,ORG-2026-000007,VEN-2026-000030,"Maya Bazaar Stage Play",THEATRE,"Telugu theatrical performance",2026-09-26,19:00:00,21:30:00,Telugu,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000023,ORG-2026-000003,VEN-2026-000017,"The Merchant",THEATRE,"Contemporary theatrical drama",2026-09-27,18:00:00,20:30:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000024,ORG-2026-000008,VEN-2026-000034,"Family Stories",THEATRE,"Family stage performance",2026-09-28,17:30:00,20:00:00,Hindi,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000025,ORG-2026-000007,VEN-2026-000034,"Comedy Night with Rahul",COMEDY,"Stand-up comedy show",2026-09-29,19:00:00,21:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000026,ORG-2026-000008,VEN-2026-000035,"Telugu Comedy Night",COMEDY,"Telugu stand-up comedy show",2026-09-30,19:30:00,21:30:00,Telugu,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000027,ORG-2026-000008,VEN-2026-000028,"Laugh Out Loud",COMEDY,"Hindi comedy special",2026-10-01,18:30:00,20:30:00,Hindi,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000028,ORG-2026-000001,VEN-2026-000003,"Tech Innovation Summit",OTHER,"Technology and innovation conference",2026-10-02,09:00:00,17:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000029,ORG-2026-000008,VEN-2026-000013,"Food and Culture Festival",OTHER,"Food, culture and entertainment festival",2026-10-03,10:00:00,20:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
EVT-2026-000030,ORG-2026-000005,VEN-2026-000033,"Gaming Expo 2026",OTHER,"Gaming and technology exhibition",2026-10-04,10:00:00,18:00:00,English,PUBLISHED,"2026-09-08 12:49:42"
