payment_id,booking_id,transaction_id,amount,payment_method,payment_status,paid_at
PAY-2026-000033,BOOK-2026-000033,TXN-2026-00000033,600.00,UPI,SUCCESS,"2026-08-24 14:15:00"
PAY-2026-000034,BOOK-2026-000034,TXN-2026-00000034,900.00,CARD,SUCCESS,"2026-08-24 15:25:00"
PAY-2026-000035,BOOK-2026-000035,TXN-2026-00000035,300.00,NET_BANKING,SUCCESS,"2026-08-25 09:35:00"
PAY-2026-000036,BOOK-2026-000036,TXN-2026-00000036,400.00,WALLET,REFUNDED,"2026-08-25 11:00:00"
PAY-2026-000037,BOOK-2026-000037,TXN-2026-00000037,450.00,UPI,SUCCESS,"2026-08-25 11:50:00"
PAY-2026-000038,BOOK-2026-000038,TXN-2026-00000038,600.00,CARD,SUCCESS,"2026-08-25 12:55:00"
PAY-2026-000039,BOOK-2026-000039,TXN-2026-00000039,400.00,NET_BANKING,SUCCESS,"2026-08-25 13:40:00"
PAY-2026-000040,BOOK-2026-000040,TXN-2026-00000040,900.00,WALLET,SUCCESS,"2026-08-25 14:50:00"
PAY-2026-000041,BOOK-2026-000041,TXN-2026-00000041,200.00,UPI,SUCCESS,"2026-08-26 09:25:00"
PAY-2026-000042,BOOK-2026-000042,TXN-2026-00000042,600.00,CARD,SUCCESS,"2026-08-26 10:30:00"
PAY-2026-000043,BOOK-2026-000043,TXN-2026-00000043,450.00,NET_BANKING,SUCCESS,"2026-08-26 11:35:00"
PAY-2026-000044,BOOK-2026-000044,TXN-2026-00000044,600.00,WALLET,SUCCESS,"2026-08-26 12:45:00"
PAY-2026-000045,BOOK-2026-000045,TXN-2026-00000045,600.00,UPI,SUCCESS,"2026-08-26 13:50:00"
PAY-2026-000046,BOOK-2026-000046,TXN-2026-00000046,450.00,CARD,REFUNDED,"2026-08-26 15:20:00"
PAY-2026-000047,BOOK-2026-000047,TXN-2026-00000047,400.00,NET_BANKING,SUCCESS,"2026-08-27 09:40:00"
PAY-2026-000048,BOOK-2026-000048,TXN-2026-00000048,900.00,WALLET,SUCCESS,"2026-08-27 10:50:00"
PAY-2026-000049,BOOK-2026-000049,TXN-2026-00000049,450.00,UPI,SUCCESS,"2026-08-27 12:00:00"
PAY-2026-000050,BOOK-2026-000050,TXN-2026-00000050,400.00,CARD,SUCCESS,"2026-08-27 13:10:00"
